State,,Confirmed,Recovered,Deaths,Active
Total,,989,84,21,884
Kerala,,182,12,1,169
Maharashtra,,181,25,4,152
Karnataka,,76,5,3,68
Telangana,,65,1,0,64
Uttar Pradesh,,61,11,0,50
Rajasthan,,54,3,0,51
Gujarat,,55,0,4,51
Delhi,,40,6,1,33
Punjab,,38,1,1,36
Tamil Nadu,,42,2,1,39
Haryana,,34,11,0,23
Madhya Pradesh,,34,0,2,32
Jammu and Kashmir,,33,1,1,31
Ladakh,,13,3,0,10
Andhra Pradesh,,13,1,0,12
West Bengal,,17,0,1,16
Bihar,,9,0,1,8
Chandigarh,,8,0,0,8
Chhattisgarh,,7,0,0,7
Uttarakhand,,6,1,0,5
Himachal Pradesh,,3,1,1,1
Goa,,3,0,0,3
Odisha,,3,0,0,3
Andaman and Nicobar Islands,,9,0,0,9
Puducherry,,1,0,0,1
Manipur,,1,0,0,1
Mizoram,,1,0,0,1
Assam,,0,0,0,0
Meghalaya,,0,0,0,0
Tripura,,0,0,0,0
Arunachal Pradesh,,0,0,0,0
Jharkhand,,0,0,0,0
Nagaland,,0,0,0,0
Sikkim,,0,0,0,0
Dadra and Nagar Haveli,,0,0,0,0
Daman and Diu,,0,0,0,0
Lakshadweep,,0,0,0,0
